uuid,uid,survey_id,survey_name,form_type,tr_code,type,period_days,period_start,period_end,qtext,suff_qtext,first_text,close_seg_text,all_seg_text,all_text,all_context,all_inclusions,all_exclusions,sci_download_date,sci_scrape_date,sci_file_name,sci_folder_name
002_0001_c_1,002_0001_c_1,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_1,boolean,364,01/01/2015,31/12/2015,"Are you able to report for the calendar year, 1 January 2015 to 31 December 2015?","Are you able to report for the calendar year, 1 January 2015 to 31 December 2015?","Are you able to report for the calendar year, 1 January 2015 to 31 December 2015?",Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period,"Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| Are you able to report for the calendar year, 1 January 2015 to 31 December 2015?",,,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_2,002_0001_c_2,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_2,dmy_date,364,01/01/2015,31/12/2015,From:,What are the dates of the 12-month period that you will be reporting for? ||| From:,From:,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for?,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for?,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for? ||| From:,Your return should relate to a business year that ends between 6 April 2015 and 5 April 2016,,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_3,002_0001_c_3,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_3,dmy_date,364,01/01/2015,31/12/2015,To:,What are the dates of the 12-month period that you will be reporting for? ||| To:,To:,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for?,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for?,Survey of Research and Development Carried Out in the United Kingdom ||| Section A - Reporting Period ||| What are the dates of the 12-month period that you will be reporting for? ||| To:,Your return should relate to a business year that ends between 6 April 2015 and 5 April 2016,,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_4,002_0001_c_4,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_4,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | Civil/Defence,Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period. ||| Code | Civil/Defence,Code | Civil/Defence,Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period. ||| Code ||| Civil/Defence,"refers to all R&D that your business has undertaken in the reporting period either for yourself or for a customer. This is the total cost of R&D conducted by your business, regardless of the source of funds or their treatment within your business' accounts. This includes all purchased services and materials which supports the in-house R&D that your business performs. ||| The full list of codes can be found at the back of the questionnaire. | If more than six codes are applicable to this business please telephone 0300 1234 940 | Defence R&D is all R&D carried out primarily for defence or military reasons, even if civil use is made of it at a later date. ||| Dynamic - User can fill in one or many columns within the matrix ||| Delete as appropriate",all purchased services and materials which supports the in-house R&D that your business performs.,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_5,002_0001_c_5,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_5,matrix_dynamic_cols,364,01/01/2015,31/12/2015,Code | Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Code | Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Code | Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period. ||| Code ||| Please select the code that best describes the sector for which in-house R&D has been carried out during the 12 month reporting period.,"refers to all R&D that your business has undertaken in the reporting period either for yourself or for a customer. This is the total cost of R&D conducted by your business, regardless of the source of funds or their treatment within your business' accounts. This includes all purchased services and materials which supports the in-house R&D that your business performs. ||| The full list of codes can be found at the back of the questionnaire. | If more than six codes are applicable to this business please telephone 0300 1234 940 | Defence R&D is all R&D carried out primarily for defence or military reasons, even if civil use is made of it at a later date. ||| Dynamic - User can fill in one or many columns within the matrix",all purchased services and materials which supports the in-house R&D that your business performs.,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_6,002_0001_c_6,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_6,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your gross non capital expenditure on salaries and wages for R&D?","Code | During the 12 month reporting period, what was your gross non capital expenditure on salaries and wages for R&D?","Code | During the 12 month reporting period, what was your gross non capital expenditure on salaries and wages for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your gross non capital expenditure on salaries and wages for R&D?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix",overtime | bonuses | redundancies | commissions | holiday pay | employers' contributions to national insurance and pension schemes,VAT,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_7,002_0001_c_7,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_7,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your non capital expenditure on all R&D materials, supplies, equipment and services?","Code | During the 12 month reporting period, what was your non capital expenditure on all R&D materials, supplies, equipment and services?","Code | During the 12 month reporting period, what was your non capital expenditure on all R&D materials, supplies, equipment and services?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your non capital expenditure on all R&D materials, supplies, equipment and services?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix",expenditure on on-site consultants | overseas purchases.,VAT,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_8,002_0001_c_8,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_8,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your figure reported in question 5, how much was spent on: purchase of materials for R&D?","Code | Of your figure reported in question 5, how much was spent on: purchase of materials for R&D?","Code | Of your figure reported in question 5, how much was spent on: purchase of materials for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| Of your figure reported in question 5, how much was spent on: purchase of materials for R&D?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix","expenditure on on-site consultants | overseas purchases. | water | fuel | materials for labs (for example,chemicals) | reference materials (for example, books).",VAT,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_9,002_0001_c_9,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_9,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | Of your figure reported in question 5, how much was spent on: purchase of services for R&D?","Code | Of your figure reported in question 5, how much was spent on: purchase of services for R&D?","Code | Of your figure reported in question 5, how much was spent on: purchase of services for R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| Of your figure reported in question 5, how much was spent on: purchase of services for R&D?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix","expenditure on on-site consultants | overseas purchases. | expenditure for on-site consultants | prototypes/models made outside the organisation | indirect services hired/purchased (for example, security, storage, repair/maintenance of buildings/equipment, computer services, printing,  subscriptions to libraries/scientific societies, all administration, insurance, post and telecommunications)",VAT,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
002_0001_c_10,002_0001_c_10,002,Survey of Research and Development Carried Out in the UK(Long & Short Form),0001,c_10,matrix_dynamic_cols,364,01/01/2015,31/12/2015,"Code | During the 12 month reporting period, what was your total in-house non capital expenditure on R&D?","Code | During the 12 month reporting period, what was your total in-house non capital expenditure on R&D?","Code | During the 12 month reporting period, what was your total in-house non capital expenditure on R&D?",Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure,"Survey of Research and Development Carried Out in the United Kingdom ||| Section B - In-house R&D ||| In-house R&D: Non Capital Expenditure ||| Code ||| During the 12 month reporting period, what was your total in-house non capital expenditure on R&D?","The total cost of non capital expenditure carried out by your business in the UK, regardless of the source of funds or their treatment within your business' accounts. All expenditure should be reported as gross unless otherwise stated. ||| Dynamic - User can fill in one or many columns within the matrix",,,24/03/2017,01/06/2017,ex_sel002-ft0001.pdf,002 - Questionnaire Examples
