,id,type,text,excl,incl,duration,survey,score
0,002_0001_c_1,boolean, Are you able to report for the calendar year    1 January 2015 to 31 December 2015 Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0000000000000002
1216,210_0001_C_1,boolean, Are you able to report for the calendar year    1 January 2015 to 31 December 2015 Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.989189105115208
1,002_0001_c_2,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0
1217,210_0001_C_2,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.983574687868449
1218,210_0001_C_3,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.9666653861288176
1105,202_1505_11,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.800527803570542
2,002_0001_c_3,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0
1218,210_0001_C_3,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.9834850816093526
1217,210_0001_C_2,dmy_date, From What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.9667534599294977
1106,202_1505_12,dmy_date, To What are the dates of the 12 month period that you will be reporting for Section A   Reporting Period Annual Business Survey , Northern Ireland    the Channel Islands and Isle of Man     Any activity outside the UK lasting for more than one year     any overseas activity which is deemed to be capital expenditure in that country , England    Scotland and Wales     all installation activities outside the UK    which should be included regardless of the length of period of the work carried out     Any work done in connection with overseas contracts where employees travel abroad regularly for short periods should ,30,202,0.7992721363268561
3,002_0001_43,boolean, During the 12 month reporting period    did you purchase any R D conducted outside this business Section C   Purchase of R D Conducted Outside this Business Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0000000000000002
1221,210_0001_C_60,boolean, During the 12 month reporting period    did you purchase any R D conducted outside this business Section C   Purchase of R D Conducted Outside this Business Survey of Research and Development Carried Out in the United Kingdom 2015 , any expenditure reported as in house expenditure in Section B Channel Islands     Isle of Man , parent companies or other subsidiary companies within the group operating in the UK England     Scotland     Wales     Northern Ireland ,30,210,0.9907889656246471
24,002_0001_c_e3,boolean, Have there been any significant changes in the data since the last reporting period Section E   Workplace Information Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0000000000000002
1222,210_0001_C_87,boolean, Have there been any significant changes in the data since the last reporting period and or has your business undergone any changes during this reporting period which affect your response to this questionnaire Section E   Workplace Information    Comments and Contact Details Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.761691895923532
25,002_0001_c_e4,open_text, Please provide any comments below Section E   Workplace Information Survey of Research and Development Carried Out in the United Kingdom ,,,30,002,1.0
1223,210_0001_C_88,open_text, Section E   Workplace Information    Comments and Contact Details Survey of Research and Development Carried Out in the United Kingdom 2015 , Channel Islands     Isle of Man , England     Scotland     Wales     Northern Ireland ,30,210,0.8097531826377778
